1	-3	6	54
1	-36	18	0
1	-27	-3	51
1	30	-3	54
1	-36	-42	45
1	36	-42	51
1	-51	9	39
1	54	6	39
2	-38	-55	-7
2	-45	-60	-14
3	0	9	64
3	-34	-3	59
3	34	0	46
3	46	-46	-29
3	28	-53	36
3	32	-74	29
3	40	35	11
4	28	4	9
4	-8	27	53
4	-13	24	52
4	-16	16	59
4	-4	16	59
4	-2	18	40
4	-4	-60	10
5	-6	-51	12
5	-3	66	9
5	-48	-69	24
5	0	-12	54
6	-31	-58	-40
6	31	-62	-46
6	-10	-64	26
6	7	-75	31
6	-29	-64	40
6	32	-59	49
6	-6	9	36
6	9	10	35
6	-30	0	45
6	34	0	44
6	-39	20	14
6	40	14	12
6	-28	45	14
6	35	39	13
6	-10	55	15
6	17	53	12
7	-17	-64	52
7	-33	-47	50
7	-42	-80	7
7	-26	-12	55
7	15	-65	53
7	39	-45	43
7	23	-7	56
7	5	14	52
7	26	17	4
7	16	-6	7
8	-6	0	64
8	-26	-14	60
8	26	-4	58
8	-40	-42	50
8	-44	-36	42
8	-40	-38	58
8	-42	-30	42
8	-42	-30	50
8	-54	-34	44
8	48	-28	58
8	42	-30	46
8	40	-34	44
9	-28	-62	49
9	32	-64	49
9	-26	-3	61
9	38	1	63
9	-53	7	35
9	53	11	33
9	8	16	51
9	-28	18	3
9	34	23	-1
9	-16	-65	21
9	16	-65	25
9	-30	-64	-37
9	36	-69	-35
10	0	-95	-1
10	0	-74	-9
10	0	-74	-9
10	-12	-86	-5
10	-4	-105	-18
10	-34	-74	42
10	-24	-55	34
10	32	-53	21
10	-46	-52	45
10	2	-83	-29
10	4	-47	-12
10	-4	-53	-13
10	4	-57	-13
10	-14	-98	-18
10	12	-79	7
10	18	-85	4
10	2	-87	15
10	30	-43	30
10	-44	-50	3
10	-32	-60	43
10	-28	-79	22
10	38	-70	38
10	40	-65	58
10	6	-57	-20
10	6	-65	-28
10	8	-94	-27
10	-44	-90	-29
10	-40	-57	-27
11	51	32	4
11	29	-29	-23
11	38	-64	-65
11	17	-31	-53
11	32	-11	52
11	-19	7	62
11	-16	-63	52
11	-31	-29	-23
11	-46	38	9
11	-37	-84	25
11	-40	-71	19
12	-26	0	62
12	26	0	64
13	-48	-58	-10
13	50	-58	-16
13	-6	-84	-2
13	-16	-16	10
13	36	-50	38
13	36	-54	48
13	32	-68	46
13	-44	-46	42
13	-28	-74	28
13	-24	-76	42
13	-30	-66	52
13	-32	-52	40
13	32	0	52
13	-32	0	52
13	-54	28	28
13	-46	24	24
13	46	32	20
13	8	14	50
13	14	30	26
13	-10	26	38
13	-6	14	48
13	40	26	-4
13	-36	20	-4
13	-34	22	6
13	0	-36	-14
13	-14	-10	2
13	-14	-2	-4
13	-8	-10	10
13	16	-8	10
13	6	-26	-4
13	-18	2	14
13	16	0	-4
14	21	-74	49
14	16	-77	48
14	-13	-72	53
14	-1	-77	49
14	36	35	32
14	1	-78	4
14	51	19	11
14	-53	-25	11
14	0	-3	55
14	-45	-8	45
14	-47	17	40
14	-29	-84	29
14	-19	75	56
14	34	-75	34
14	25	-76	50
14	47	17	42
14	-46	-39	53
14	0	77	50
15	36	-72	50
15	27	-78	45
15	-36	-51	45
15	-36	-69	55
15	-33	-57	50
15	51	-45	50
15	42	-45	50
15	36	-51	50
15	-54	12	40
15	-54	21	25
15	-42	9	50
15	-30	-15	60
15	-21	-18	55
15	-27	-24	45
15	-27	-48	5
15	-9	-6	65
15	-6	-12	70
15	-63	-3	20
15	-42	3	15
15	-54	6	15
15	-39	-33	-10
15	-51	-45	45
15	-39	-48	45
15	27	-69	-10
15	27	-96	-5
15	-21	-90	15
15	21	-81	35
15	30	-87	35
15	-12	-51	40
15	-6	-33	55
15	-3	-42	40
16	-40	-78	0
16	-48	-72	-6
16	-26	-94	12
16	-24	-78	36
16	-20	-76	46
16	24	-72	48
16	-16	-64	52
16	16	-66	50
16	-30	-54	62
16	28	-56	54
16	-40	-38	46
16	34	-40	46
16	-24	-4	58
16	30	-6	56
16	40	6	34
16	-10	20	42
17	18	62	57
17	-19	59	55
17	32	44	45
17	-26	55	44
17	31	16	6
17	-39	7	4
17	15	19	34
17	-43	41	13
17	44	22	37
17	30	5	50
17	-29	9	65
17	29	6	7
17	-24	5	8
17	13	17	10
17	-12	14	12
17	32	3	38
18	-45	37	12
18	-41	25	20
18	-48	13	26
18	-37	5	32
18	-49	15	32
18	-16	28	49
18	-10	-1	69
18	-6	6	49
18	-30	31	-9
18	-28	-72	31
18	-13	-65	26
18	-11	-63	16
18	-33	-39	-19
18	-42	-47	-15
18	-19	-77	2
19	-42	-36	42
19	-54	-1	25
19	-1	1	56
19	-44	-33	40
19	-5	3	55
19	-40	-55	-20
19	-44	-4	55
19	-46	-36	43
19	-62	-41	9
20	-41	54	15
20	41	-35	3
20	-34	20	-4
20	41	-6	37
20	-11	-2	45
20	-8	-44	-56
20	-34	16	-4
20	-41	-54	-16
20	49	-31	3
20	-30	20	-4
20	-38	-6	37
20	-49	-46	-7
20	54	31	6
20	-30	20	1
20	-38	-6	41
20	11	2	37
21	-24	-74	44
21	-22	-76	30
21	22	-80	43
21	24	-84	29
21	-31	-46	17
21	-31	23	14
21	44	16	5
21	-17	-74	46
21	24	69	54
21	-30	-53	39
21	-31	16	17
21	38	9	4
21	4	27	44
21	-33	-30	58
21	-58	-25	8
21	64	-17	6
21	38	36	26
22	-42	5	33
22	-42	10	3
22	-46	25	-3
22	-51	-64	-42
22	-16	-90	-20
22	8	12	51
22	40	-42	-38
22	44	-65	-35
22	10	-83	-29
22	-40	5	35
22	-48	30	12
22	-53	-61	-15
22	-26	-64	40
22	-16	-24	-16
22	22	-26	-21
22	16	-5	13
22	8	12	53
22	30	-33	-42
23	-36	18	32
23	-36	44	12
23	-32	31	8
23	40	22	10
23	40	31	2
23	32	30	2
23	32	22	28
23	32	14	32
23	36	4	28
23	-10	-46	14
23	-8	-40	6
23	-40	-52	10
23	-40	-54	20
23	-54	-26	-10
23	-60	-34	-12
23	66	-50	2
23	68	-22	-14
23	44	-24	-18
23	-12	-76	6
23	22	-98	2
24	-45	-64	37
24	-15	-97	-2
24	9	-82	7
24	3	-76	28
24	-21	-37	-17
24	24	-37	-17
24	27	-34	-2
24	-51	5	28
24	48	-4	16
24	-39	-43	49
24	42	-40	49
24	54	-58	-14
24	-3	-76	4
24	30	-4	52
24	-24	-4	49
24	30	-64	34
24	-30	-40	-14
24	30	-31	-14
24	39	-22	61
24	-3	-79	46
24	-18	-61	16
24	15	-55	10
24	-24	-67	55
24	27	-61	61
25	-33	-48	-18
25	-46	3	30
25	-11	3	47
26	48	36	21
